Scenario,controls,covid,year,statistic,value
B.2.1,Internal,nocovid,3,sd,3.552130784520895
B.2.1,Internal,nocovid,3,rmse,3.7766082448722322
B.2.1,Internal,nocovid,4,mean.abs.bias,3.9105649694497435
B.2.1,Internal,nocovid,4,abs.mean.bias,1.661694066002714
B.2.1,Internal,nocovid,4,mean.bias,-1.661694066002714
B.2.1,Internal,nocovid,4,sd,4.567025294384005
B.2.1,Internal,nocovid,4,rmse,4.8556391719785825
B.2.1,Internal,nocovid,5,mean.abs.bias,4.7795794071052455
B.2.1,Internal,nocovid,5,abs.mean.bias,2.0309594140033185
B.2.1,Internal,nocovid,5,mean.bias,-2.0309594140033185
B.2.1,Internal,nocovid,5,sd,5.581919804247124
B.2.1,Internal,nocovid,5,rmse,5.934670099084941
B.2.2,External,covid,1,mean.abs.bias,4.836969004178328
B.2.2,External,covid,1,abs.mean.bias,0.19389035966373716
B.2.2,External,covid,1,mean.bias,-0.19389035966373716
B.2.2,External,covid,1,sd,6.018642684558213
B.2.2,External,covid,1,rmse,6.015746430529452
B.2.2,External,covid,2,mean.abs.bias,5.08351575438557
B.2.2,External,covid,2,abs.mean.bias,1.1945412208623556
B.2.2,External,covid,2,mean.bias,-1.1945412208623556
B.2.2,External,covid,2,sd,6.425948816698335
B.2.2,External,covid,2,rmse,6.529713721655522
B.2.2,External,covid,3,mean.abs.bias,5.80123578626693
B.2.2,External,covid,3,abs.mean.bias,1.3653055842931514
B.2.2,External,covid,3,mean.bias,-1.3653055842931514
B.2.2,External,covid,3,sd,7.360024913466583
B.2.2,External,covid,3,rmse,7.478347821002788
B.2.2,External,covid,4,mean.abs.bias,6.765550744235921
B.2.2,External,covid,4,abs.mean.bias,1.3112388966117383
B.2.2,External,covid,4,mean.bias,-1.3112388966117383
B.2.2,External,covid,4,sd,8.582761379267437
B.2.2,External,covid,4,rmse,8.673858008501485
B.2.2,External,covid,5,mean.abs.bias,7.829011501592566
B.2.2,External,covid,5,abs.mean.bias,1.1711081394444953
B.2.2,External,covid,5,mean.bias,-1.1711081394444953
B.2.2,External,covid,5,sd,9.951442359503021
B.2.2,External,covid,5,rmse,10.010226615752272
B.2.2,External,nocovid,1,mean.abs.bias,1.9803275996090979
B.2.2,External,nocovid,1,abs.mean.bias,0.3708062370351827
B.2.2,External,nocovid,1,mean.bias,0.3708062370351827
B.2.2,External,nocovid,1,sd,2.4648564708801874
B.2.2,External,nocovid,1,rmse,2.4901533391781405
B.2.2,External,nocovid,2,mean.abs.bias,3.30054599934851
B.2.2,External,nocovid,2,abs.mean.bias,0.6180103950586413
B.2.2,External,nocovid,2,mean.bias,0.6180103950586413
B.2.2,External,nocovid,2,sd,4.108094118133658
B.2.2,External,nocovid,2,rmse,4.150255565296914
B.2.2,External,nocovid,3,mean.abs.bias,4.620764399087911
B.2.2,External,nocovid,3,abs.mean.bias,0.8652145530821019
B.2.2,External,nocovid,3,mean.bias,0.8652145530821019
B.2.2,External,nocovid,3,sd,5.751331765387119
B.2.2,External,nocovid,3,rmse,5.8103577914156785
B.2.2,External,nocovid,4,mean.abs.bias,5.940982798827307
B.2.2,External,nocovid,4,abs.mean.bias,1.1124187111055501
B.2.2,External,nocovid,4,mean.bias,1.1124187111055501
B.2.2,External,nocovid,4,sd,7.394569412640577
B.2.2,External,nocovid,4,rmse,7.470460017534437
B.2.2,External,nocovid,5,mean.abs.bias,7.261201198566721
B.2.2,External,nocovid,5,abs.mean.bias,1.3596228691290055
B.2.2,External,nocovid,5,mean.bias,1.3596228691290055
B.2.2,External,nocovid,5,sd,9.037807059894044
B.2.2,External,nocovid,5,rmse,9.130562243653205
B.2.2,Internal,covid,1,mean.abs.bias,2.4695908387719494
B.2.2,Internal,covid,1,abs.mean.bias,0.4054816697907488
B.2.2,Internal,covid,1,mean.bias,0.4054816697907488
B.2.2,Internal,covid,1,sd,3.0707153956433033
B.2.2,Internal,covid,1,rmse,3.094325425596833
B.2.2,Internal,covid,2,mean.abs.bias,2.942711081543689
B.2.2,Internal,covid,2,abs.mean.bias,0.4312188126932647
B.2.2,Internal,covid,2,mean.bias,-0.4312188126932647
B.2.2,Internal,covid,2,sd,3.636036103794952
B.2.2,Internal,covid,2,rmse,3.6579046864871647
B.2.2,Internal,covid,3,mean.abs.bias,3.625753646112547
B.2.2,Internal,covid,3,abs.mean.bias,0.4937520648651921
B.2.2,Internal,covid,3,mean.bias,-0.4937520648651921
B.2.2,Internal,covid,3,sd,4.440372563787037
B.2.2,Internal,covid,3,rmse,4.46332452212259
B.2.2,Internal,covid,4,mean.abs.bias,4.371482065989164
B.2.2,Internal,covid,4,abs.mean.bias,0.32465808969563364
B.2.2,Internal,covid,4,mean.bias,-0.32465808969563364
B.2.2,Internal,covid,4,sd,5.360099103634424
B.2.2,Internal,covid,4,rmse,5.364569316467614
B.2.2,Internal,covid,5,mean.abs.bias,5.158066599712091
B.2.2,Internal,covid,5,abs.mean.bias,0.05555607026502343
B.2.2,Internal,covid,5,mean.bias,-0.05555607026502343
B.2.2,Internal,covid,5,sd,6.334989466189468
B.2.2,Internal,covid,5,rmse,6.328895150861747
B.2.2,Internal,nocovid,1,mean.abs.bias,1.3827945474142973
B.2.2,Internal,nocovid,1,abs.mean.bias,0.6306848145408773
B.2.2,Internal,nocovid,1,mean.bias,0.6306848145408773
B.2.2,Internal,nocovid,1,sd,1.5963365346903784
B.2.2,Internal,nocovid,1,rmse,1.714921889362828
B.2.2,Internal,nocovid,2,mean.abs.bias,2.304657579023839
B.2.2,Internal,nocovid,2,abs.mean.bias,1.0511413575681254
B.2.2,Internal,nocovid,2,mean.bias,1.0511413575681254
B.2.2,Internal,nocovid,2,sd,2.6605608911506464
B.2.2,Internal,nocovid,2,rmse,2.85820314893806
B.2.2,Internal,nocovid,3,mean.abs.bias,3.2265206106333713
B.2.2,Internal,nocovid,3,abs.mean.bias,1.4715979005953796
B.2.2,Internal,nocovid,3,mean.bias,1.4715979005953796
B.2.2,Internal,nocovid,3,sd,3.724785247610897
B.2.2,Internal,nocovid,3,rmse,4.001484408513278
B.2.2,Internal,nocovid,4,mean.abs.bias,4.148383642242894
B.2.2,Internal,nocovid,4,abs.mean.bias,1.8920544436226157
B.2.2,Internal,nocovid,4,mean.bias,1.8920544436226157
B.2.2,Internal,nocovid,4,sd,4.7890096040711505
B.2.2,Internal,nocovid,4,rmse,5.144765668088493
B.2.2,Internal,nocovid,5,mean.abs.bias,5.0702466738524326
B.2.2,Internal,nocovid,5,abs.mean.bias,2.3125109866498677
B.2.2,Internal,nocovid,5,mean.bias,2.3125109866498677
B.2.2,Internal,nocovid,5,sd,5.85323396053141
B.2.2,Internal,nocovid,5,rmse,6.288046927663719
B.3.1,External,covid,1,mean.abs.bias,4.681648851417594
B.3.1,External,covid,1,abs.mean.bias,1.099714842299212
B.3.1,External,covid,1,mean.bias,-1.099714842299212
B.3.1,External,covid,1,sd,5.767369972403624
B.3.1,External,covid,1,rmse,5.865611990249525
B.3.1,External,covid,2,mean.abs.bias,5.4875461394817835
B.3.1,External,covid,2,abs.mean.bias,2.6365967450853267
B.3.1,External,covid,2,mean.bias,-2.6365967450853267
B.3.1,External,covid,2,sd,6.348973188968673
B.3.1,External,covid,2,rmse,6.868805138401372
B.3.1,External,covid,3,mean.abs.bias,6.715240742754683
B.3.1,External,covid,3,abs.mean.bias,3.494317565051648
B.3.1,External,covid,3,mean.bias,-3.494317565051648
B.3.1,External,covid,3,sd,7.648516297463107
B.3.1,External,covid,3,rmse,8.401967459760964
B.3.1,External,covid,4,mean.abs.bias,8.058494358033723
B.3.1,External,covid,4,abs.mean.bias,4.150081731897288
B.3.1,External,covid,4,mean.bias,-4.150081731897288
B.3.1,External,covid,4,sd,9.226011856974157
B.3.1,External,covid,4,rmse,10.108028223985393
B.3.1,External,covid,5,mean.abs.bias,9.441595967574113
B.3.1,External,covid,5,abs.mean.bias,4.723309810534269
B.3.1,External,covid,5,mean.bias,-4.723309810534269
B.3.1,External,covid,5,sd,10.908643578549464
B.3.1,External,covid,5,rmse,11.87729612667252
B.3.1,External,nocovid,1,mean.abs.bias,2.2383830922371724
B.3.1,External,nocovid,1,abs.mean.bias,0.7028504449323852
B.3.1,External,nocovid,1,mean.bias,-0.7028504449323852
B.3.1,External,nocovid,1,sd,2.7577610316250127
B.3.1,External,nocovid,1,rmse,2.843243599074129
B.3.1,External,nocovid,2,mean.abs.bias,3.7306384870619396
B.3.1,External,nocovid,2,abs.mean.bias,1.171417408220639
B.3.1,External,nocovid,2,mean.bias,-1.171417408220639
B.3.1,External,nocovid,2,sd,4.59626838604167
B.3.1,External,nocovid,2,rmse,4.738739331790198
B.3.1,External,nocovid,3,mean.abs.bias,5.222893881886715
B.3.1,External,nocovid,3,abs.mean.bias,1.6399843715088946
B.3.1,External,nocovid,3,mean.bias,-1.6399843715088946
B.3.1,External,nocovid,3,sd,6.434775740458344
B.3.1,External,nocovid,3,rmse,6.6342350645062815
B.3.1,External,nocovid,4,mean.abs.bias,6.715149276711494
B.3.1,External,nocovid,4,abs.mean.bias,2.108551334797146
B.3.1,External,nocovid,4,mean.bias,-2.108551334797146
B.3.1,External,nocovid,4,sd,8.273283094875017
B.3.1,External,nocovid,4,rmse,8.529730797222365
B.3.1,External,nocovid,5,mean.abs.bias,8.207404671536269
B.3.1,External,nocovid,5,abs.mean.bias,2.5771182980854004
B.3.1,External,nocovid,5,mean.bias,-2.5771182980854004
B.3.1,External,nocovid,5,sd,10.111790449291684
B.3.1,External,nocovid,5,rmse,10.425226529938442
B.3.1,Internal,covid,1,mean.abs.bias,2.515726853768725
B.3.1,Internal,covid,1,abs.mean.bias,1.155780977259066
B.3.1,Internal,covid,1,mean.bias,-1.155780977259066
B.3.1,Internal,covid,1,sd,2.916169179331722
B.3.1,Internal,covid,1,rmse,3.134144901645934
B.3.1,Internal,covid,2,mean.abs.bias,3.6076122248514757
B.3.1,Internal,covid,2,abs.mean.bias,2.8338972557021096
B.3.1,Internal,covid,2,mean.bias,-2.8338972557021096
B.3.1,Internal,covid,2,sd,3.3578182838824016
B.3.1,Internal,covid,2,rmse,4.391283115012713
B.3.1,Internal,covid,3,mean.abs.bias,4.545969528503674
B.3.1,Internal,covid,3,abs.mean.bias,3.7141526664556563
